# 내장 aT 시프트 팩터 데이터
# 원본: R00_at.txt
# T (°C)	aT
-5.969590000000000174e+01	8.970170000000000000e+09
-4.985170000000000101e+01	5.592220000000000000e+08
-3.983109999999999928e+01	1.573320000000000000e+07
-2.974089999999999989e+01	4.426420000000000000e+05
-1.973400000000000176e+01	2.314790000000000146e+04
-9.750659999999999883e+00	2.024960000000000036e+03
3.722659999999999858e-01	1.415250000000000057e+02
1.054780000000000051e+01	1.090199999999999925e+01
2.020909999999999940e+01	1.000000000000000000e+00
2.993179999999999907e+01	9.770610000000000406e-02
3.996150000000000091e+01	1.145200000000000037e-02
4.994619999999999749e+01	2.135220000000000173e-03
5.995400000000000063e+01	4.222750000000000050e-04
6.994499999999999318e+01	1.177570000000000044e-04
7.998499999999999943e+01	1.647950000000000036e-05
