# 내장 aT 시프트 팩터 데이터
# 원본: R20_aT.txt
# T (°C)	aT
-5.958820000000000050e+01	1.176560000000000000e+09
-4.990679999999999694e+01	1.452880000000000000e+09
-4.003370000000000317e+01	2.407900000000000000e+07
-2.994350000000000023e+01	3.990690000000000000e+05
-1.988820000000000121e+01	1.924370000000000073e+04
-9.830330000000000013e+00	1.342529999999999973e+03
2.562800000000000078e-01	1.149590000000000032e+02
1.042900000000000027e+01	1.023049999999999926e+01
2.013540000000000063e+01	1.000000000000000000e+00
2.992320000000000135e+01	1.082440000000000069e-01
3.993110000000000070e+01	9.901399999999999438e-03
4.995049999999999812e+01	1.785329999999999903e-03
5.992560000000000286e+01	4.066590000000000244e-04
6.994060000000000343e+01	1.163259999999999972e-04
7.996070000000000277e+01	3.255999999999999997e-05
