# 내장 aT 시프트 팩터 데이터
# 원본: R60_aT.txt
# T (°C)	aT
-2.952570000000000050e+01	8.063360000000000000e+05
-1.986049999999999827e+01	3.167300000000000000e+04
-9.815279999999999561e+00	1.362079999999999927e+03
2.971349999999999825e-01	9.621580000000000155e+01
1.047010000000000041e+01	8.987349999999999284e+00
2.019389999999999930e+01	1.000000000000000000e+00
2.992970000000000041e+01	1.301670000000000049e-01
3.993119999999999692e+01	1.553140000000000076e-02
4.994160000000000110e+01	2.567390000000000123e-03
5.994509999999999650e+01	4.980219999999999829e-04
6.992520000000000380e+01	1.432139999999999878e-04
7.990109999999999957e+01	3.536589999999999965e-05
