# 내장 aT 시프트 팩터 데이터
# 원본: S100-aT.3bT 2.13.txt
# T (°C)	aT
-2.974089999999999989e+01	3.865190000000000000e+07
-1.973400000000000176e+01	2.021290000000000000e+06
-9.750659999999999883e+00	1.768210000000000000e+05
3.722659999999999858e-01	1.235810000000000036e+04
1.054780000000000051e+01	9.519679999999999609e+02
2.020909999999999940e+01	8.732080000000000553e+01
2.993179999999999907e+01	8.531779999999999475e+00
3.996150000000000091e+01	1.000000000000000000e+00
4.994619999999999749e+01	1.864490000000000036e-01
5.995400000000000063e+01	3.687340000000000062e-02
6.994499999999999318e+01	1.028270000000000052e-02
7.998499999999999943e+01	1.439009999999999899e-03
