# 내장 aT 시프트 팩터 데이터
# 원본: S120-at-R.txt
# T (°C)	aT
-2.993059999999999832e+01	3.788650000000000000e+07
-1.990319999999999823e+01	1.720170000000000000e+06
-9.838870000000000005e+00	1.296100000000000000e+05
2.175529999999999964e-01	1.036829999999999927e+04
1.043549999999999933e+01	7.574199999999999591e+02
2.010920000000000130e+01	8.029460000000000264e+01
2.994480000000000075e+01	9.295339999999999492e+00
3.996390000000000242e+01	1.000000000000000000e+00
4.994819999999999993e+01	1.338930000000000120e-01
5.997370000000000090e+01	3.630680000000000018e-02
6.996909999999999741e+01	7.082549999999999957e-03
7.994530000000000314e+01	2.078410000000000153e-03
