# 내장 aT 시프트 팩터 데이터
# 원본: S140_at.txt
# T (°C)	aT
-2.954929999999999879e+01	7.241330000000000000e+07
-1.986049999999999827e+01	2.733690000000000000e+06
-9.823919999999999320e+00	1.554620000000000000e+05
2.777560000000000029e-01	9.920600000000000364e+03
1.045480000000000054e+01	7.057390000000000327e+02
2.015050000000000097e+01	6.202519999999999811e+01
2.994269999999999854e+01	6.529969999999999608e+00
3.995519999999999783e+01	1.000000000000000000e+00
4.995470000000000255e+01	1.423480000000000023e-01
5.996940000000000026e+01	3.786289999999999795e-02
6.997360000000000468e+01	1.171679999999999944e-02
7.994499999999999318e+01	6.565429999999999704e-03
