# 내장 f,g 곡선 데이터
# strain	f(strain)	g(strain)
1.479999999999999925e-04	1.002000000000000002e+00	1.008000000000000007e+00
2.201000000000000103e-04	1.000999999999999890e+00	1.010000000000000009e+00
3.272999999999999868e-04	9.983999999999999542e-01	1.018999999999999906e+00
4.868000000000000148e-04	9.917000000000000259e-01	1.028999999999999915e+00
7.238999999999999775e-04	9.801999999999999602e-01	1.042999999999999927e+00
1.077000000000000049e-03	9.687000000000000055e-01	1.054000000000000048e+00
1.600999999999999993e-03	9.456999999999999851e-01	1.070999999999999952e+00
2.380999999999999870e-03	9.163000000000000034e-01	1.084000000000000075e+00
3.540999999999999877e-03	8.803999999999999604e-01	1.086999999999999966e+00
5.265999999999999848e-03	8.401999999999999469e-01	1.080000000000000071e+00
7.830999999999999420e-03	8.106999999999999762e-01	1.064999999999999947e+00
1.165000000000000063e-02	7.631999999999999895e-01	1.032999999999999918e+00
1.731999999999999859e-02	7.114000000000000323e-01	9.917000000000000259e-01
2.576000000000000165e-02	6.724999999999999867e-01	9.608999999999999764e-01
3.830000000000000071e-02	6.046000000000000263e-01	9.086999999999999522e-01
5.695999999999999674e-02	5.279000000000000359e-01	8.468999999999999861e-01
8.470999999999999364e-02	4.506999999999999895e-01	7.633999999999999675e-01
1.260000000000000009e-01	3.694999999999999951e-01	6.291999999999999815e-01
1.872999999999999943e-01	3.542000000000000148e-01	6.229999999999999982e-01
2.786000000000000143e-01	3.897999999999999798e-01	5.815000000000000169e-01
