# 내장 마스터 커브 데이터
# 원본: R00_Master.txt
# freq (Hz)	E' (Pa)	E'' (Pa)
1.648000000000000146e-05	4.351000000000000000e+06	2.939000000000000000e+05
3.550000000000000231e-05	4.530000000000000000e+06	3.982000000000000000e+05
7.648999999999999441e-05	4.622000000000000000e+06	4.211000000000000000e+05
1.178000000000000038e-04	4.501000000000000000e+06	4.186000000000000000e+05
1.647999999999999942e-04	4.954000000000000000e+06	4.310000000000000000e+05
2.536999999999999867e-04	4.762000000000000000e+06	4.220000000000000000e+05
3.550000000000000096e-04	5.028000000000000000e+06	3.139000000000000000e+05
4.223000000000000191e-04	4.731000000000000000e+06	4.639000000000000000e+05
5.465999999999999505e-04	5.010000000000000000e+06	5.495000000000000000e+05
7.648999999999999983e-04	5.221000000000000000e+06	5.014999999999999418e+05
9.097999999999999967e-04	5.005000000000000000e+06	5.143999999999999418e+05
1.178000000000000011e-03	5.152000000000000000e+06	4.646000000000000000e+05
1.647999999999999942e-03	5.079000000000000000e+06	1.965000000000000000e+05
1.959999999999999937e-03	5.224000000000000000e+06	6.260000000000000000e+05
2.135000000000000179e-03	5.095000000000000000e+06	5.183000000000000000e+05
2.537000000000000192e-03	5.358000000000000000e+06	5.475000000000000000e+05
4.223000000000000191e-03	5.380000000000000000e+06	6.006000000000000000e+05
4.599999999999999922e-03	5.313000000000000000e+06	5.409000000000000000e+05
5.466000000000000372e-03	5.610000000000000000e+06	5.215999999999999418e+05
9.098000000000000184e-03	5.561000000000000000e+06	5.170000000000000000e+05
9.910999999999999671e-03	5.488000000000000000e+06	5.632000000000000000e+05
1.145000000000000011e-02	5.591000000000000000e+06	5.903000000000000000e+05
1.178000000000000054e-02	5.594000000000000000e+06	1.619000000000000000e+05
1.959999999999999937e-02	5.845000000000000000e+06	6.873000000000000000e+05
2.135000000000000092e-02	5.820000000000000000e+06	5.274000000000000000e+05
2.467000000000000096e-02	5.759000000000000000e+06	6.454000000000000000e+05
4.222999999999999671e-02	5.878000000000000000e+06	2.463000000000000000e+05
4.599999999999999922e-02	5.886000000000000000e+06	5.745000000000000000e+05
5.315999999999999892e-02	5.985000000000000000e+06	6.644000000000000000e+05
9.771000000000000518e-02	6.256000000000000000e+06	7.148000000000000000e+05
9.911000000000000365e-02	6.315000000000000000e+06	8.842000000000000000e+05
1.145000000000000046e-01	6.355000000000000000e+06	6.950000000000000000e+05
2.104999999999999927e-01	6.425000000000000000e+06	7.755000000000000000e+05
2.134999999999999953e-01	6.478000000000000000e+06	3.769000000000000000e+05
2.467000000000000026e-01	6.526000000000000000e+06	8.605000000000000000e+05
4.535000000000000142e-01	6.745000000000000000e+06	9.030000000000000000e+05
5.315999999999999615e-01	6.810000000000000000e+06	7.832000000000000000e+05
9.770999999999999686e-01	7.048000000000000000e+06	9.072000000000000000e+05
1.000000000000000000e+00	7.085000000000000000e+06	9.059000000000000000e+05
1.145000000000000018e+00	7.231000000000000000e+06	6.013000000000000000e+05
2.104999999999999982e+00	7.462000000000000000e+06	1.036000000000000000e+06
2.154999999999999805e+00	7.364000000000000000e+06	9.560000000000000000e+05
4.535000000000000142e+00	7.938000000000000000e+06	1.040999999999999884e+06
4.642000000000000348e+00	7.728000000000000000e+06	1.069000000000000000e+06
9.771000000000000796e+00	8.095000000000000931e+06	1.257000000000000000e+06
1.000000000000000000e+01	8.100000000000000000e+06	1.146000000000000000e+06
1.090000000000000036e+01	8.257000000000000000e+06	1.180000000000000000e+06
2.155000000000000071e+01	8.617000000000000000e+06	1.272000000000000000e+06
2.348999999999999844e+01	8.576000000000000000e+06	1.306000000000000000e+06
4.642000000000000171e+01	9.188000000000000000e+06	1.645000000000000000e+06
5.060999999999999943e+01	9.104000000000000000e+06	1.455000000000000000e+06
1.000000000000000000e+02	9.628000000000000000e+06	1.686000000000000000e+06
1.090000000000000000e+02	9.636000000000000000e+06	1.749000000000000000e+06
1.415000000000000000e+02	1.012000000000000000e+07	1.724000000000000000e+06
2.349000000000000057e+02	1.052000000000000000e+07	2.149000000000000000e+06
3.048999999999999773e+02	1.066000000000000000e+07	1.979000000000000000e+06
5.060000000000000000e+02	1.116000000000000000e+07	2.631000000000000000e+06
6.568999999999999773e+02	1.157000000000000000e+07	2.411000000000000000e+06
1.090000000000000000e+03	1.226000000000000000e+07	3.487000000000000000e+06
1.415000000000000000e+03	1.255000000000000000e+07	2.930000000000000000e+06
2.025000000000000000e+03	1.342000000000000000e+07	3.010000000000000000e+06
3.049000000000000000e+03	1.358000000000000000e+07	3.731000000000000000e+06
4.363000000000000000e+03	1.444000000000000000e+07	3.763000000000000000e+06
6.569000000000000000e+03	1.517000000000000000e+07	5.281000000000000000e+06
9.400000000000000000e+03	1.594000000000000000e+07	4.797000000000000000e+06
1.415000000000000000e+04	1.741000000000000000e+07	7.359000000000000000e+06
2.025000000000000000e+04	1.799000000000000000e+07	6.526000000000000000e+06
2.315000000000000000e+04	1.928000000000000000e+07	6.479000000000000000e+06
4.363000000000000000e+04	2.083000000000000000e+07	9.190000000000000000e+06
4.987000000000000000e+04	2.172000000000000000e+07	8.887000000000000000e+06
9.400000000000000000e+04	2.506000000000000000e+07	1.348000000000000000e+07
1.075000000000000000e+05	2.544000000000000000e+07	1.249000000000000000e+07
2.025000000000000000e+05	3.065000000000000000e+07	2.020000000000000000e+07
2.315000000000000000e+05	3.089000000000000000e+07	1.809000000000000000e+07
4.427000000000000000e+05	3.877000000000000000e+07	2.393000000000000000e+07
4.987000000000000000e+05	3.869000000000000000e+07	2.654000000000000000e+07
9.537000000000000000e+05	4.874000000000000000e+07	3.497000000000000000e+07
1.075000000000000000e+06	5.087000000000000000e+07	3.941000000000000000e+07
2.055000000000000000e+06	6.436000000000000000e+07	5.198000000000000000e+07
2.315000000000000000e+06	6.920000000000000000e+07	6.069000000000000000e+07
4.427000000000000000e+06	8.836000000000000000e+07	7.759000000000000000e+07
9.537000000000000000e+06	1.246000000000000000e+08	1.153000000000000000e+08
1.573000000000000000e+07	1.539000000000000000e+08	1.483000000000000000e+08
2.055000000000000000e+07	1.810000000000000000e+08	1.722000000000000000e+08
3.390000000000000000e+07	2.332000000000000000e+08	2.266000000000000000e+08
4.427000000000000000e+07	2.688000000000000000e+08	2.613000000000000000e+08
7.303000000000000000e+07	3.652000000000000000e+08	3.348000000000000000e+08
1.573000000000000000e+08	5.583000000000000000e+08	4.585000000000000000e+08
3.390000000000000000e+08	7.985000000000000000e+08	5.561000000000000000e+08
5.593000000000000000e+08	1.611000000000000000e+09	6.917000000000000000e+08
7.303000000000000000e+08	1.074000000000000000e+09	6.441000000000000000e+08
1.205000000000000000e+09	2.105000000000000000e+09	8.109000000000000000e+08
1.573000000000000000e+09	1.554000000000000000e+09	8.709000000000000000e+08
2.596000000000000000e+09	2.455000000000000000e+09	7.682000000000000000e+08
5.593000000000000000e+09	2.807000000000000000e+09	6.999000000000000000e+08
8.971000000000000000e+09	1.727000000000000000e+09	6.977000000000000000e+08
1.205000000000000000e+10	3.069000000000000000e+09	6.124000000000000000e+08
1.933000000000000000e+10	4.959000000000000000e+09	3.697000000000000000e+08
2.596000000000000000e+10	3.256000000000000000e+09	5.468000000000000000e+08
4.164000000000000000e+10	4.880000000000000000e+09	3.352000000000000000e+08
5.593000000000000000e+10	3.942000000000000000e+09	7.966000000000000000e+08
8.971000000000000000e+10	4.967000000000000000e+09	2.987000000000000000e+08
1.933000000000000000e+11	5.022000000000000000e+09	2.724000000000000000e+08
4.164000000000000000e+11	5.064000000000000000e+09	2.855000000000000000e+08
8.971000000000000000e+11	6.465000000000000000e+09	1.320000000000000000e+09
