# 내장 마스터 커브 데이터
# 원본: S100_R.MPa.txt
# freq (Hz)	E' (Pa)	E'' (Pa)
1.438999999999999958e-03	4.693869556639783084e+06	4.157214863338719588e+05
3.099999999999999891e-03	4.796616780272195116e+06	4.019026613789768307e+05
6.679000000000000041e-03	4.892025497038977221e+06	3.958137450535019161e+05
1.027999999999999921e-02	4.980308959833354689e+06	3.961467801113676978e+05
1.439000000000000001e-02	5.061764603283712640e+06	4.019391867175257066e+05
2.214999999999999955e-02	5.136767266517250799e+06	4.124271238776661921e+05
3.099999999999999978e-02	5.205762149063102901e+06	4.269336944538530661e+05
3.687000000000000000e-02	5.269257727920063771e+06	4.447783876140998327e+05
4.773000000000000159e-02	5.327818845880467445e+06	4.652010048262124765e+05
6.679000000000000214e-02	5.382060160824520513e+06	4.872984458973375149e+05
7.943999999999999673e-02	5.432640124163584784e+06	5.099769103793856339e+05
1.028000000000000025e-01	5.480255635093012825e+06	5.319254828349008458e+05
1.439000000000000001e-01	5.515091984247299843e+06	5.128097699159126496e+05
1.711999999999999911e-01	5.563018019617503509e+06	5.133301727750818245e+05
1.864999999999999991e-01	5.619483770302616060e+06	5.105980097322838265e+05
2.215000000000000024e-01	5.652492064341714606e+06	5.369942210938971257e+05
3.687000000000000277e-01	5.718899273124838248e+06	5.306789574012500234e+05
4.017000000000000015e-01	5.765386974045798182e+06	5.216305565097835497e+05
4.773000000000000020e-01	5.820186379161425866e+06	5.018877482950752019e+05
7.943999999999999950e-01	5.852821162428297102e+06	4.918474251566940802e+05
8.653999999999999471e-01	5.907255415886236355e+06	5.015892891095838277e+05
1.000000000000000000e+00	5.982053267772725783e+06	5.104191208057434997e+05
1.028000000000000025e+00	6.044051577554946765e+06	5.460746974951177835e+05
1.711999999999999966e+00	6.118252697044125758e+06	5.501786298327486729e+05
1.864999999999999991e+00	6.178117085342801176e+06	5.212176624906071811e+05
2.154999999999999805e+00	6.251087610764636658e+06	5.372504017749452032e+05
3.686999999999999833e+00	6.304942634456287138e+06	5.477058024666897254e+05
4.017000000000000348e+00	6.384088499449167401e+06	5.661217306392106693e+05
4.642000000000000348e+00	6.465906141375659034e+06	6.080802528790892102e+05
8.532000000000000028e+00	6.537796202712739818e+06	6.298488029919049004e+05
8.653999999999999915e+00	6.648533769910130650e+06	6.607719662116986001e+05
1.000000000000000000e+01	6.737805644040004350e+06	6.942053270051090512e+05
1.837999999999999901e+01	6.845411804009118117e+06	7.385472139147043927e+05
1.864999999999999858e+01	6.949516034376831725e+06	7.888612746267253533e+05
2.153999999999999915e+01	7.063197443527683616e+06	7.724812543851324590e+05
3.960000000000000142e+01	7.198710429499578662e+06	8.223484946581035620e+05
4.642000000000000171e+01	7.326607696722951718e+06	8.613733007567978930e+05
8.531999999999999318e+01	7.461967756562844850e+06	9.171866297191941412e+05
8.732999999999999829e+01	7.584025178064822219e+06	8.983198058868718799e+05
1.000000000000000000e+02	7.722724437783840112e+06	9.299615961588005302e+05
1.838000000000000114e+02	7.851613396518442780e+06	9.656284589458554983e+05
1.880999999999999943e+02	8.018446608148042113e+06	1.011806592458345927e+06
3.960000000000000000e+02	8.183070157890609466e+06	1.085776399884941056e+06
4.053000000000000114e+02	8.351718645458915271e+06	1.140972782595097087e+06
8.532000000000000455e+02	8.539615728424914181e+06	1.222797181954771047e+06
8.732000000000000455e+02	8.726239123955128714e+06	1.224261757178341039e+06
9.520000000000000000e+02	8.916782546105816960e+06	1.300105532272829907e+06
1.881000000000000000e+03	9.118136738175889477e+06	1.368138385174343362e+06
2.051000000000000000e+03	9.340800619346812367e+06	1.457695575674530817e+06
4.053000000000000000e+03	9.577501632928911597e+06	1.573347173006735276e+06
4.419000000000000000e+03	9.846984151173334569e+06	1.686615200612013694e+06
8.732000000000000000e+03	1.012635936372398958e+07	1.760812101468472276e+06
9.520000000000000000e+03	1.043839848517290503e+07	1.870329285576444352e+06
1.236000000000000000e+04	1.075274745539484359e+07	2.008015501981433714e+06
2.051000000000000000e+04	1.111579569548728690e+07	2.129536424558540806e+06
2.663000000000000000e+04	1.150167044861421734e+07	2.307224560177632608e+06
4.419000000000000000e+04	1.193664968575974554e+07	2.548395691476232372e+06
5.736000000000000000e+04	1.238823238331867009e+07	2.760384040003083646e+06
9.520000000000000000e+04	1.289937725984756276e+07	3.027424765362232458e+06
1.236000000000000000e+05	1.342104817263307236e+07	3.279064446936094202e+06
1.768000000000000000e+05	1.402996495394248888e+07	3.614261010303289164e+06
2.663000000000000000e+05	1.465670538866653852e+07	3.975209787495921832e+06
3.810000000000000000e+05	1.541319546588498913e+07	4.435181491742377169e+06
5.736000000000000000e+05	1.616668230137563311e+07	4.962452086739006452e+06
8.208000000000000000e+05	1.711822739314309508e+07	5.600511353088870645e+06
1.236000000000000000e+06	1.808530320120731741e+07	6.275481450711404905e+06
1.768000000000000000e+06	1.931547918736848235e+07	7.173124039343420416e+06
2.021000000000000000e+06	2.057085767442580312e+07	8.115975937100339681e+06
3.810000000000000000e+06	2.214776739159160480e+07	9.398036585305726156e+06
4.355000000000000000e+06	2.384577197869087756e+07	1.080875207610957511e+07
8.208000000000000000e+06	2.566277216819362342e+07	1.265824714791439846e+07
9.383000000000000000e+06	2.787705191050561517e+07	1.474839359588531777e+07
1.768000000000000000e+07	3.076926344375891238e+07	1.733869338251025602e+07
2.021000000000000000e+07	3.419258303730995953e+07	2.064216271230401471e+07
3.866000000000000000e+07	3.865458962178632617e+07	2.473715857642224431e+07
4.355000000000000000e+07	4.396727809417881817e+07	3.029019314774015173e+07
8.328000000000000000e+07	5.012212744397005439e+07	3.670012922711632401e+07
9.383000000000000000e+07	5.791820388665475696e+07	4.595699068214394897e+07
