# 내장 마스터 커브 데이터
# 원본: S120-R.txt
# freq (Hz)	E' (Pa)	E'' (Pa)
2.077999999999999986e-03	4.062000000000000466e+06	4.292000000000000000e+05
4.478000000000000209e-03	4.190000000000000466e+06	6.057000000000000000e+05
7.082999999999999886e-03	4.261000000000000000e+06	4.161000000000000000e+05
9.646999999999999326e-03	4.254000000000000000e+06	5.370000000000000000e+05
1.525999999999999926e-02	4.435000000000000000e+06	4.892000000000000000e+05
2.077999999999999986e-02	4.502000000000000000e+06	5.270000000000000000e+05
3.287000000000000338e-02	4.822000000000000000e+06	6.170000000000000000e+05
3.631000000000000200e-02	4.557000000000000000e+06	4.765000000000000000e+05
4.478000000000000036e-02	4.735000000000000000e+06	6.225000000000000000e+05
7.083000000000000407e-02	4.969000000000000000e+06	5.365000000000000000e+05
7.821999999999999786e-02	4.677000000000000000e+06	6.692000000000000000e+05
9.647000000000000020e-02	4.924000000000000000e+06	6.109000000000000000e+05
1.338999999999999913e-01	4.952000000000000000e+06	6.295000000000000000e+05
1.526000000000000134e-01	5.138000000000000000e+06	5.348000000000000000e+05
1.685000000000000109e-01	4.781000000000000000e+06	5.673000000000000000e+05
2.078000000000000125e-01	5.202000000000000000e+06	1.489000000000000000e+05
2.884999999999999787e-01	5.094000000000000000e+06	6.354000000000000000e+05
3.286999999999999922e-01	5.229000000000000000e+06	6.120000000000000000e+05
3.630999999999999783e-01	5.102000000000000000e+06	6.196000000000000000e+05
6.215000000000000524e-01	5.326000000000000000e+06	6.469000000000000000e+05
7.083000000000000407e-01	5.268000000000000000e+06	3.130000000000000000e+05
7.822000000000000064e-01	5.445000000000000000e+06	6.188000000000000000e+05
1.000000000000000000e+00	5.506000000000000000e+06	6.943000000000000000e+05
1.338999999999999968e+00	5.562000000000000000e+06	7.511000000000000000e+05
1.685000000000000053e+00	5.737000000000000000e+06	8.546000000000000000e+05
2.154999999999999805e+00	5.684000000000000000e+06	7.669000000000000000e+05
2.884999999999999787e+00	5.887000000000000000e+06	7.863000000000000000e+05
3.630999999999999783e+00	6.066000000000000000e+06	2.441000000000000000e+05
4.642000000000000348e+00	5.959000000000000000e+06	8.474000000000000000e+05
6.214999999999999858e+00	6.181000000000000000e+06	8.690000000000000000e+05
9.295999999999999375e+00	6.332000000000000000e+06	8.772000000000000000e+05
1.000000000000000000e+01	6.338000000000000000e+06	8.950000000000000000e+05
1.339000000000000057e+01	6.491000000000000000e+06	6.406000000000000000e+05
2.003000000000000114e+01	6.560000000000000000e+06	9.378000000000000000e+05
2.153999999999999915e+01	6.657000000000000000e+06	9.420000000000000000e+05
4.314999999999999858e+01	6.921000000000000000e+06	1.075000000000000000e+06
4.642000000000000171e+01	7.120000000000000000e+06	1.178000000000000000e+06
8.029999999999999716e+01	7.312000000000000000e+06	1.103000000000000000e+06
9.295999999999999375e+01	7.280000000000000000e+06	1.152000000000000000e+06
1.000000000000000000e+02	7.327000000000000000e+06	7.925000000000000000e+05
1.730000000000000000e+02	7.649000000000000000e+06	1.245000000000000000e+06
2.003000000000000114e+02	7.713000000000000000e+06	1.263000000000000000e+06
3.726999999999999886e+02	8.135999999999999069e+06	1.418000000000000000e+06
4.315000000000000000e+02	8.250000000000000000e+06	1.385000000000000000e+06
7.575000000000000000e+02	8.864000000000000000e+06	1.560000000000000000e+06
8.030000000000000000e+02	8.630000000000000000e+06	1.627000000000000000e+06
9.296000000000000227e+02	8.828000000000000000e+06	1.400000000000000000e+06
1.632000000000000000e+03	9.242000000000000000e+06	1.679000000000000000e+06
1.730000000000000000e+03	9.356000000000000000e+06	1.922000000000000000e+06
3.516000000000000000e+03	9.963000000000000000e+06	1.965000000000000000e+06
3.727000000000000000e+03	9.953000000000000000e+06	2.031000000000000233e+06
7.575000000000000000e+03	1.071000000000000000e+07	2.292000000000000000e+06
8.030000000000000000e+03	1.097000000000000000e+07	2.400000000000000000e+06
1.037000000000000000e+04	1.133000000000000000e+07	2.278000000000000000e+06
1.632000000000000000e+04	1.167000000000000000e+07	2.761000000000000000e+06
2.234000000000000000e+04	1.200000000000000000e+07	2.693000000000000000e+06
3.516000000000000000e+04	1.270000000000000000e+07	3.669000000000000000e+06
4.813000000000000000e+04	1.317000000000000000e+07	3.326000000000000000e+06
7.575000000000000000e+04	1.401000000000000000e+07	4.590000000000000000e+06
1.037000000000000000e+05	1.433000000000000000e+07	4.077000000000000000e+06
1.296000000000000000e+05	1.553000000000000000e+07	4.117000000000000000e+06
