# 내장 마스터 커브 데이터
# 원본: S140_R.txt
# freq (Hz)	E' (Pa)	E'' (Pa)
6.564999999999999655e-03	3.947000000000000000e+06	4.757000000000000000e+05
1.171999999999999952e-02	4.139999999999999534e+06	5.692000000000000000e+05
1.413999999999999979e-02	4.187000000000000466e+06	4.317000000000000000e+05
2.523999999999999855e-02	4.538000000000000000e+06	6.107000000000000000e+05
3.047000000000000056e-02	4.486000000000000000e+06	6.826000000000000000e+05
3.785999999999999782e-02	4.506000000000000000e+06	5.845000000000000000e+05
5.439000000000000085e-02	4.729000000000000000e+06	4.282000000000000000e+05
6.565000000000000002e-02	4.714000000000000000e+06	6.523000000000000000e+05
8.157000000000000361e-02	4.765000000000000000e+06	6.057000000000000000e+05
1.171999999999999986e-01	5.063000000000000000e+06	4.398000000000000000e+05
1.413999999999999979e-01	4.854000000000000000e+06	5.111000000000000000e+05
1.423999999999999988e-01	4.988000000000000000e+06	7.204000000000000000e+05
1.756999999999999951e-01	5.269000000000000000e+06	8.318000000000000000e+05
2.524000000000000132e-01	5.259000000000000000e+06	8.448000000000000000e+05
3.047000000000000264e-01	5.297000000000000000e+06	5.453000000000000000e+05
3.066999999999999726e-01	5.499000000000000000e+06	7.624000000000000000e+05
3.785999999999999921e-01	5.508000000000000000e+06	8.606000000000000000e+05
5.437999999999999501e-01	5.413000000000000000e+06	8.262000000000000000e+05
6.564999999999999725e-01	5.529000000000000000e+06	3.240000000000000000e+05
6.606999999999999540e-01	5.638000000000000000e+06	9.155000000000000000e+05
8.156999999999999806e-01	5.874000000000000000e+06	9.081000000000000000e+05
1.000000000000000000e+00	5.710000000000000000e+06	8.610000000000000000e+05
1.171999999999999931e+00	5.872000000000000000e+06	4.523000000000000000e+05
1.423999999999999932e+00	5.980000000000000000e+06	1.114000000000000000e+06
1.756999999999999895e+00	5.915000000000000000e+06	7.455000000000000000e+05
2.154999999999999805e+00	6.155000000000000000e+06	9.924000000000000000e+05
3.067000000000000171e+00	6.403000000000000000e+06	9.869000000000000000e+05
3.786000000000000032e+00	6.444000000000000000e+06	5.106000000000000582e+05
4.642000000000000348e+00	6.555000000000000000e+06	1.075000000000000000e+06
6.530000000000000249e+00	6.709000000000000000e+06	1.128000000000000000e+06
