# 내장 PSD 데이터
# 원본: PSD persson.txt
# q (1/m)	C(q) (m^4)
1.553745915591918703e+01	3.081768416611508663e-11
3.048807471074327680e+01	3.261369459408795717e-12
4.778592531515467812e+01	2.714563467022731346e-13
5.982462706675892150e+01	1.996641069497916549e-12
7.489623733500783942e+01	6.982324040771704288e-13
9.376699539547369966e+01	9.369145856727322946e-13
1.049155834149925681e+02	6.864359179269959004e-13
1.313469522646837504e+02	1.802187611664052255e-13
1.469636738226516002e+02	2.207496379669135283e-13
1.644371723214932501e+02	4.813932540001438517e-13
1.839882124457398334e+02	5.979983697142513102e-13
2.058638070763882411e+02	1.452780493703143861e-13
2.303456419586676702e+02	4.381269820224934387e-14
2.577329828183998188e+02	5.557762703204182560e-14
2.883765886241031353e+02	2.882703663307122411e-13
3.226636185911482357e+02	1.352383925252648881e-13
3.610272638950000896e+02	1.358939117100802807e-13
4.039522207202003301e+02	2.095077052365176255e-13
4.519808140369132161e+02	2.635117589863840059e-13
5.057314942383341076e+02	2.971666031738031442e-13
5.658613091479309105e+02	9.501671247555652368e-14
6.331403617108157960e+02	4.878653791974775829e-14
7.084186728209509738e+02	5.177260290506426442e-14
7.926473280669131327e+02	8.556575760980926633e-14
8.868904939924043447e+02	1.734203266843868986e-14
9.923388630506939307e+02	2.408795881725710190e-14
1.110324697120023984e+03	1.369619718680802353e-14
1.242367265877740920e+03	6.654263586443716750e-15
1.390080656477388175e+03	5.753074526484432101e-15
1.555356684440173467e+03	2.302501914610404370e-15
1.740283489709922833e+03	3.302174352670770813e-15
1.947197485216738414e+03	2.376840286624873340e-15
2.178712875720254942e+03	1.233388798801110624e-15
2.437754686346499057e+03	1.090184492385126742e-15
2.727595718109369955e+03	4.355118736855679205e-16
3.051968170677429953e+03	2.950529763858277358e-16
3.414837169945907590e+03	2.472293346062341109e-16
3.820850102331115067e+03	1.821797073091871565e-16
4.275136639886974081e+03	1.296880618803646949e-16
4.783436355839594398e+03	5.226368167369360588e-17
5.352171239835022789e+03	5.833107765394199656e-17
5.988526835011939511e+03	3.626602862448875605e-17
6.700543022006067076e+03	1.969699614899921392e-17
7.497388228630913545e+03	2.499769702178507548e-17
8.388803083408607563e+03	1.122535281890168137e-17
9.386204238893496949e+03	9.693932693002544996e-18
1.050219311840425325e+04	6.689597686316065085e-18
1.175086941313564785e+04	3.846803477718914202e-18
1.314800922129182254e+04	2.559175090909899677e-18
1.471126436737805489e+04	1.814261982038617594e-18
1.646076443864638350e+04	1.521948650903656752e-18
1.841789530797649786e+04	9.202376548056681773e-19
2.060772261458089270e+04	7.716138244793726523e-19
2.305791320116735369e+04	4.604685783785738397e-19
2.579942340724190944e+04	3.604956262788365940e-19
2.886689017948272885e+04	2.406024248767370700e-19
3.229906868385320195e+04	1.532145464810901568e-19
3.613932194835953123e+04	1.196465003339032404e-19
4.043709981063803571e+04	7.716138244793726763e-20
4.524493826799285307e+04	5.171303179169624133e-20
5.062441293912824040e+04	3.309786650728406846e-20
5.664348949381517014e+04	2.055890595984136219e-20
6.337821449690488225e+04	1.646265966328296984e-20
7.091367620023255586e+04	1.284103412171631135e-20
7.934507956952624954e+04	9.471090794701642213e-21
8.877894912848724925e+04	5.817012539626908418e-21
9.933676210422522854e+04	3.990249023621412070e-21
1.111475771060505358e+05	3.098132588484399213e-21
1.243626592497926322e+05	2.091702907102847459e-21
1.391489712899743172e+05	1.548816618912485929e-21
1.556933273046776303e+05	1.193988104464277992e-21
1.742047529527661391e+05	8.171466413467486108e-22
1.949171263579420629e+05	6.880183161430355315e-22
2.180971548000122712e+05	5.116818355403073123e-22
2.440281907347725937e+05	3.616596019752450935e-22
2.730423417393583222e+05	2.695255866504088442e-22
3.055061800771247363e+05	1.817188584784407244e-22
3.418298622504925006e+05	1.222643941040816930e-22
3.824723110239295638e+05	8.396533015798731651e-23
4.279470135724645224e+05	6.801426356038554353e-23
4.788285090110310703e+05	5.553924862434779741e-23
5.357719837335513439e+05	4.299322266787721106e-23
5.994735142545356648e+05	2.845116144233282161e-23
6.707489476930216188e+05	2.162718523727024473e-23
7.504987962491833605e+05	1.956590767934933497e-23
8.397306400684097316e+05	1.465885334670986190e-23
9.395718572686078260e+05	1.168960940639358777e-23
1.051283867525978014e+06	1.129275744209419395e-23
