# Strain Sweep 내장 데이터
# T(C)	Freq(Hz)	Strain	E'(Pa)	E''(Pa)
0.02	1.0	0.00998199	12.3965	1.76989
0.02	1.0	0.0133129	12.3579	1.77681
0.02	1.0	0.0177461	12.3418	1.78331
0.02	1.0	0.0236596	12.3492	1.80447
0.02	1.0	0.031558	12.2931	1.8164
0.02	1.0	0.0420875	12.2247	1.83397
0.02	1.0	0.0561241	12.1139	1.85492
0.02	1.0	0.0748532	11.96	1.88646
0.02	1.0	0.099816	11.7526	1.92113
0.02	1.0	0.133117	11.4914	1.95493
0.02	1.0	0.177512	11.1729	1.98251
0.02	1.0	0.236721	10.8024	2.00125
0.02	1.0	0.315669	10.3899	2.00493
0.02	1.0	0.42097	9.94642	1.99124
0.02	1.0	0.561402	9.47247	1.95595
0.02	1.0	0.748652	8.97981	1.90113
0.02	1.0	0.998458	8.46497	1.82624
0.02	1.0	1.33148	7.93229	1.73507
0.02	1.0	1.77568	7.38546	1.63276
0.02	1.0	2.36817	6.81151	1.52133
0.02	1.0	3.15846	6.20654	1.40454
0.02	1.0	4.21252	5.57118	1.28468
0.02	1.0	5.6189	4.91792	1.16317
0.02	1.0	7.49479	4.27492	1.04087
0.02	1.0	9.99712	3.67123	0.915441
0.02	1.0	13.3315	3.12654	0.783644
0.02	1.0	17.7678	2.65958	0.647271
0.02	1.0	24.0898	2.39459	0.510474
0.02	1.0	25.1467	2.34769	0.47739
9.94	1.0	0.0099875	10.9768	1.35416
9.94	1.0	0.0133212	10.9577	1.34117
9.94	1.0	0.017767	10.943	1.34462
9.94	1.0	0.0236861	10.9141	1.35255
9.94	1.0	0.0315812	10.8752	1.3618
9.94	1.0	0.042114	10.7959	1.37742
9.94	1.0	0.0561403	10.6951	1.39078
9.94	1.0	0.0748584	10.5596	1.41098
9.94	1.0	0.0998339	10.3817	1.43529
9.94	1.0	0.133138	10.1641	1.46189
9.94	1.0	0.177559	9.89803	1.48585
9.94	1.0	0.236777	9.5962	1.50286
9.94	1.0	0.315749	9.26689	1.50928
9.94	1.0	0.421055	8.9119	1.50267
9.94	1.0	0.561495	8.53631	1.48018
9.94	1.0	0.748819	8.13766	1.44313
9.94	1.0	0.998588	7.72817	1.3897
9.94	1.0	1.33171	7.29787	1.3244
9.94	1.0	1.77597	6.84293	1.24907
9.94	1.0	2.3686	6.35803	1.16787
9.94	1.0	3.15909	5.83214	1.08212
9.94	1.0	4.21328	5.2652	0.993642
9.94	1.0	5.61951	4.66899	0.9036
9.94	1.0	7.49538	4.07185	0.812517
9.94	1.0	9.9975	3.50604	0.719437
9.94	1.0	13.3325	3.00446	0.623393
9.94	1.0	17.7732	2.56688	0.523096
9.94	1.0	23.7157	2.29471	0.420665
9.94	1.0	26.3193	2.23593	0.381457
29.9	1.0	0.00993227	7.92113	0.812626
29.9	1.0	0.0133018	7.85741	0.793673
29.9	1.0	0.0177287	7.82279	0.797681
29.9	1.0	0.0236355	7.81039	0.8005
29.9	1.0	0.0315658	7.75717	0.806546
29.9	1.0	0.0420936	7.71052	0.81615
29.9	1.0	0.0560989	7.64443	0.823229
29.9	1.0	0.0748367	7.56082	0.823972
29.9	1.0	0.0997999	7.4614	0.825199
29.9	1.0	0.133073	7.33974	0.82181
29.9	1.0	0.177427	7.20522	0.824052
29.9	1.0	0.236635	7.05659	0.828837
29.9	1.0	0.315539	6.89171	0.832713
29.9	1.0	0.420773	6.71473	0.834018
29.9	1.0	0.561073	6.52162	0.829128
29.9	1.0	0.748208	6.31242	0.817982
29.9	1.0	0.99778	6.08633	0.799891
29.9	1.0	1.33063	5.83939	0.775213
29.9	1.0	1.77458	5.56679	0.744597
29.9	1.0	2.3666	5.2637	0.709913
29.9	1.0	3.1564	4.92131	0.672274
29.9	1.0	4.20982	4.52905	0.631911
29.9	1.0	5.61481	4.08678	0.588998
29.9	1.0	7.4889	3.61581	0.543269
29.9	1.0	9.98856	3.15133	0.494747
29.9	1.0	13.3223	2.72296	0.441901
29.9	1.0	17.7651	2.35499	0.383864
29.9	1.0	23.6793	2.05225	0.322323
29.9	1.0	31.7316	1.90996	0.263056
49.99	1.0	0.00991974	6.36074	0.564004
49.99	1.0	0.0133148	6.32266	0.531796
49.99	1.0	0.0176711	6.33331	0.545917
49.99	1.0	0.0236869	6.29266	0.530814
49.99	1.0	0.0315095	6.29257	0.542256
49.99	1.0	0.0420438	6.25757	0.544083
49.99	1.0	0.0560571	6.232	0.543356
49.99	1.0	0.0747942	6.19966	0.550299
49.99	1.0	0.0997915	6.15963	0.553352
49.99	1.0	0.133103	6.10052	0.559198
49.99	1.0	0.177507	6.03305	0.56475
49.99	1.0	0.236681	5.95228	0.570907
49.99	1.0	0.315597	5.85864	0.57597
49.99	1.0	0.420808	5.75195	0.578493
49.99	1.0	0.561103	5.63059	0.577807
49.99	1.0	0.748215	5.49496	0.573712
49.99	1.0	0.997827	5.34245	0.565579
49.99	1.0	1.33076	5.16955	0.553316
49.99	1.0	1.77476	4.97189	0.537297
49.99	1.0	2.36687	4.74285	0.517747
49.99	1.0	3.15656	4.47503	0.495432
49.99	1.0	4.2097	4.16225	0.470468
49.99	1.0	5.61436	3.8047	0.443194
49.99	1.0	7.48803	3.4133	0.413561
49.99	1.0	9.98679	3.01052	0.381353
49.99	1.0	13.3194	2.62562	0.345818
49.99	1.0	17.761	2.27965	0.305989
49.99	1.0	23.6769	1.99052	0.26321
