# Strain Sweep 내장 데이터
# T(C)	Freq(Hz)	Strain	E'(Pa)	E''(Pa)
0.03	1.0	0.00998001	13.2699	2.50155
0.03	1.0	0.0132999	13.2987	2.52376
0.03	1.0	0.0177483	13.2533	2.54093
0.03	1.0	0.0236647	13.17	2.5526
0.03	1.0	0.031552	13.0503	2.57268
0.03	1.0	0.042071	12.8762	2.59972
0.03	1.0	0.0561221	12.5461	2.61779
0.03	1.0	0.0748157	11.5924	2.40342
0.03	1.0	0.0998166	11.1034	2.33596
0.03	1.0	0.133168	10.587	2.2519
0.03	1.0	0.177549	10.1934	2.26328
0.03	1.0	0.236822	9.86912	2.31561
0.03	1.0	0.315754	9.55796	2.35266
0.03	1.0	0.421141	9.21716	2.37383
0.03	1.0	0.56159	8.82071	2.3702
0.03	1.0	0.750019	8.453	2.3689
0.03	1.0	0.998509	7.99884	2.26646
0.03	1.0	1.33154	7.4266	2.13348
0.03	1.0	1.77579	6.83193	1.98094
0.03	1.0	2.36823	6.2053	1.81551
0.03	1.0	3.15834	5.55017	1.64398
0.03	1.0	4.21178	4.87593	1.46829
0.03	1.0	5.6171	4.20983	1.2906
0.03	1.0	7.48947	3.58981	1.11456
0.03	1.0	9.98406	3.0466	0.942058
0.03	1.0	13.3059	2.59936	0.776176
0.03	1.0	17.7466	2.24027	0.624326
0.03	1.0	23.7115	1.87799	0.492386
0.03	1.0	28.2026	2.11957	0.427065
10.02	1.0	0.00997532	13.6462	2.2215
10.02	1.0	0.0132951	13.6767	2.23542
10.02	1.0	0.0177544	13.6381	2.24798
10.02	1.0	0.0236625	13.5595	2.26561
10.02	1.0	0.0315742	13.4512	2.29234
10.02	1.0	0.0420785	13.2791	2.32682
10.02	1.0	0.0561323	13.0327	2.36721
10.02	1.0	0.0748498	12.6991	2.41115
10.02	1.0	0.0998313	12.2668	2.454
10.02	1.0	0.133132	11.7565	2.48927
10.02	1.0	0.177536	11.1629	2.50332
10.02	1.0	0.236756	10.5255	2.49012
10.02	1.0	0.315722	9.8562	2.44244
10.02	1.0	0.421029	9.1836	2.36224
10.02	1.0	0.561475	8.52249	2.25131
10.02	1.0	0.74879	7.8805	2.11515
10.02	1.0	0.99854	7.26055	1.96098
10.02	1.0	1.33166	6.66227	1.79746
10.02	1.0	1.77598	6.07911	1.63023
10.02	1.0	2.36845	5.50434	1.46457
10.02	1.0	3.15853	4.93063	1.30271
10.02	1.0	4.21181	4.35563	1.14567
10.02	1.0	5.61624	3.78799	0.994208
10.02	1.0	7.48793	3.25129	0.85009
10.02	1.0	9.98203	2.77663	0.714264
10.02	1.0	13.3073	2.37899	0.587396
10.02	1.0	17.7513	2.0207	0.473068
10.02	1.0	23.7048	1.66138	0.37397
29.87	1.0	0.010004	7.62647	1.02862
29.87	1.0	0.013315	7.57404	1.0182
29.87	1.0	0.0177428	7.56285	1.02822
29.87	1.0	0.0236744	7.53562	1.04116
29.87	1.0	0.0315611	7.48086	1.04884
29.87	1.0	0.0421034	7.39184	1.05618
29.87	1.0	0.0561384	7.28808	1.06737
29.87	1.0	0.0748353	7.16338	1.07645
29.87	1.0	0.0998068	7.00678	1.0893
29.87	1.0	0.133089	6.82299	1.10032
29.87	1.0	0.177474	6.61197	1.10833
29.87	1.0	0.236678	6.38052	1.11267
29.87	1.0	0.315645	6.12805	1.10798
29.87	1.0	0.420867	5.86676	1.09342
29.87	1.0	0.561268	5.59792	1.0655
29.87	1.0	0.748535	5.31881	1.02601
29.87	1.0	0.998219	5.02799	0.97498
29.87	1.0	1.3312	4.72976	0.912615
29.87	1.0	1.77536	4.42141	0.842334
29.87	1.0	2.36776	4.10374	0.771896
29.87	1.0	3.15785	3.76863	0.708345
29.87	1.0	4.2116	3.40978	0.648162
29.87	1.0	5.61678	3.03153	0.587843
29.87	1.0	7.49074	2.65363	0.526583
29.87	1.0	9.98896	2.30104	0.463514
29.87	1.0	13.317	1.99566	0.398285
29.87	1.0	17.7547	1.75084	0.332512
29.87	1.0	23.7136	1.55218	0.27136
50.1	1.0	0.00999811	6.59425	0.807343
50.1	1.0	0.0132761	6.57867	0.819473
50.1	1.0	0.0177123	6.59427	0.817078
50.1	1.0	0.0237338	6.53751	0.817154
50.1	1.0	0.0315943	6.50448	0.820802
50.1	1.0	0.0421069	6.46289	0.828814
50.1	1.0	0.0561044	6.39899	0.836247
50.1	1.0	0.0747811	6.30974	0.848607
50.1	1.0	0.0997985	6.18723	0.857566
50.1	1.0	0.133107	6.04305	0.867315
50.1	1.0	0.177476	5.87379	0.875249
50.1	1.0	0.236598	5.68668	0.877708
50.1	1.0	0.315573	5.4795	0.87208
50.1	1.0	0.420849	5.26036	0.858053
50.1	1.0	0.561245	5.03163	0.835287
50.1	1.0	0.748372	4.79098	0.803647
50.1	1.0	0.998017	4.53912	0.763063
50.1	1.0	1.33104	4.27973	0.717579
50.1	1.0	1.77517	4.01088	0.668949
50.1	1.0	2.36727	3.73155	0.619371
50.1	1.0	3.15719	3.43979	0.570051
50.1	1.0	4.2104	3.13228	0.520777
50.1	1.0	5.61496	2.81205	0.471277
50.1	1.0	7.48761	2.48654	0.421374
50.1	1.0	9.98392	2.17365	0.371187
50.1	1.0	13.3106	1.88879	0.320378
50.1	1.0	17.7444	1.64191	0.269314
50.1	1.0	23.68	1.44092	0.222154
